Gene,column,Pearson Correlation,p_value,n,min_score,max_score,minus_log10_p,selected_candidate
ATP1B3,ATP1B3 (483),0.22593429300005588,0.2884339217036705,24,-1.42861367411699,-0.075649715267424,0.5399536650954765,False
ATP2A2,ATP2A2 (488),0.15541881501724197,0.46834642065141585,24,-2.331377492662021,-0.7861449398492684,0.3294327945270769,False
ATP5F1A,ATP5F1A (498),-0.12700896775694256,0.5542514452615787,24,-1.0983248383091078,-0.2375164615765421,0.25629316574922495,False
ATP5F1B,ATP5F1B (506),-0.32039171137348066,0.12691920590751155,24,-1.6821557496326625,-0.36372138803818,0.8964726538034622,False
ATP5F1D,ATP5F1D (513),-0.06508231233023726,0.7625479368909752,24,-1.219761660211771,0.0019144893062015,0.11773284959056524,False
ATP5F1E,ATP5F1E (514),-0.4114917823590159,0.05107950294892525,23,-1.5091881898416462,-0.2686914133715029,1.2917533374773238,False
ATP5MF,ATP5MF (9551),-0.2773272313591326,0.1895188421366851,24,-1.5289902394002048,-0.5854403825564334,0.7223476055946231,False
ATP5MG,ATP5MG (10632),-0.055985173563774,0.7949932113574637,24,-1.0666380391613457,-0.0890429824579779,0.09963657987507826,False
ATP5PB,ATP5PB (515),-0.22542687636741168,0.28954708065933776,24,-1.1798272945532409,-0.1576578806087891,0.5382808094559808,False
ATP6AP1,ATP6AP1 (537),-0.527511051809621,0.008071730154522129,24,-1.9329497176374628,0.0893501312225726,2.0930333653986124,False
ATP6AP2,ATP6AP2 (10159),-0.40334648510478094,0.05064845269368667,24,-1.5009671203172266,-0.3582942601658614,1.2954338177638816,False
ATP6V0A1,ATP6V0A1 (535),-0.3428411719187533,0.10099392094308231,24,-1.6469151412101115,0.245963439889507,0.9957047666166625,False
ATP6V0B,ATP6V0B (533),-0.15544635801886345,0.46826661777878803,24,-2.353815870057479,-0.8974360200627081,0.32950680149875916,False
ATP6V0C,ATP6V0C (527),-0.3118817811137923,0.13790612286661127,24,-4.164626408234794,-1.4438985243837656,0.8604164512414758,False
ATP6V0D1,ATP6V0D1 (9114),0.15685860988439004,0.4641841702462429,24,-1.6254535666183056,-0.5791576165576914,0.33330967407382817,False
ATP6V1A,ATP6V1A (523),-0.4139860357050246,0.044314464996739536,24,-3.3132500682542805,-1.1734500373459495,1.353454489513588,False
ATP6V1B2,ATP6V1B2 (526),0.2483876738062295,0.24186407347568442,24,-3.122259742514262,0.3568451601776599,0.6164286370123239,False
ATP6V1C1,ATP6V1C1 (528),-0.3325497538523953,0.11234141493954981,24,-1.9962302779309449,-0.6493546070817116,0.9494601104886385,False
ATP6V1D,ATP6V1D (51382),-0.5553020326810163,0.004849763334693115,24,-1.47779424762515,-0.5923048734228108,2.31427945416983,False
ATP6V1E1,ATP6V1E1 (529),-0.604809402126773,0.0017432533630308328,24,-1.9669001965347055,-1.0399543789151768,2.7586394882946634,False
ATP6V1F,ATP6V1F (9296),-0.15383401295604485,0.47294998337039146,24,-2.01517328626889,-0.6117073078000868,0.32518478546683877,False
ATP6V1G1,ATP6V1G1 (9550),-0.599166384319066,0.001975233758966144,24,-1.6580521589307755,-0.2953529286107912,2.7043815004316216,False
ATP6V1H,ATP6V1H (51606),-0.3837576325410115,0.06413099017073927,24,-1.5365836400501216,-0.5746654992148357,1.1929320546037583,False
ATR,ATR (545),-0.1610260125103974,0.45224549899385674,24,-2.074419036053434,-0.9568329168638416,0.3446257467939827,False
ATRIP,ATRIP (84126),-0.45651336074953486,0.02493666627427893,24,-1.254522789993067,-0.170154063671684,1.6031616068100947,False
AURKA,AURKA (6790),-0.025553326993757994,0.9056545960354088,24,-1.7500521804895026,-0.6631106283878474,0.04303740457208728,False
AURKB,AURKB (9212),-0.07334337726162339,0.7334155016412435,24,-2.990942796135976,-1.5602061104196268,0.13464991492885964,False
BANF1,BANF1 (8815),-0.2967300834608092,0.15912554383683472,24,-2.9277783523510963,-1.8190540821234824,0.7982600990653407,False
BANP,BANP (54971),0.07145869742333279,0.7400320142505302,24,-1.316536912353039,-0.757422338826375,0.1307494920100999,False
BAP1,BAP1 (8314),0.5099769274961187,0.01090028854741394,24,-1.022042037126811,0.0047072619391329,1.9625620054638724,True
BARD1,BARD1 (580),0.3190441703583493,0.1286153473940995,24,-1.1394943839062983,0.0545456876809116,0.8907072048886562,False
BCAP31,BCAP31 (10134),-0.10772030202018831,0.6163641416609349,24,-1.2632043381909532,-0.0149666994039126,0.21016263525500775,False
BCAS2,BCAS2 (10286),-0.33430188391398685,0.11034633952709344,24,-1.728775623074942,-0.7144116722681996,0.9572420689323379,False
BCL2L1,BCL2L1 (598),-0.14724336639418317,0.49234029953006975,24,-3.547184436010823,-0.3280134920480543,0.30773461446648254,False
BCLAF1,BCLAF1 (9774),-0.3850955443969882,0.06313065648598921,24,-1.5242680676834477,-0.0683193506748185,1.1997596944876285,False
BDP1,BDP1 (55814),-0.1258000374415727,0.558059178089048,24,-1.6606711625265094,-0.4435040761840351,0.253319744871044,False
BIRC5,BIRC5 (332),-0.22883424679210734,0.2821236226579265,24,-3.042989280257668,-1.0305905226090304,0.549560548157061,False
BMS1,BMS1 (9790),0.3634023546022613,0.08089681845404953,24,-1.3223528771392794,-0.4415896013978991,1.0920685581778447,False
BNIP1,BNIP1 (662),0.06028618481476945,0.7796088580724367,24,-1.2639047888222004,-0.2208534692757968,0.10812323498524708,False
BOP1,BOP1 (23246),0.039643890615305356,0.8540773464914853,24,-2.37405588725979,-0.6234208312695559,0.06850279718761237,False
BORA,BORA (79866),0.09603136233518567,0.6553262925643196,24,-1.7405066731769685,-0.2022635275991945,0.18354240722083526,False
BPTF,BPTF (2186),-0.229024195116256,0.2817133575729648,24,-1.4179965823517957,-0.2353223718234385,0.5501925602464005,False
BRAF,BRAF (673),0.28930140467052007,0.17032714625437068,24,-1.313329971513203,0.1168701238488928,0.7687161299062087,False
BRAT1,BRAT1 (221927),-0.21887669898547824,0.3041577454037066,24,-1.0320065257293305,0.4579350299975582,0.5169011197131079,False
BRCA1,BRCA1 (672),0.18834657229361368,0.3781150996184659,24,-1.338288462321095,0.2021805542206768,0.4223759792096943,False
BRD2,BRD2 (6046),-0.04427507261802561,0.8372409426926571,24,-1.0032145741002836,-0.0633357310025524,0.07714954197845256,False
BRD4,BRD4 (23476),0.10330593021241721,0.6309677413140072,24,-1.4135761096143595,-0.5882340060727141,0.19999284381045182,False
BRF1,BRF1 (2972),0.09139774259990542,0.6710234749705521,24,-1.5891716169138044,-0.6809289559816106,0.17326228628131998,False
BRF2,BRF2 (55290),-0.3630864315267516,0.08118078313920188,24,-2.3296481156865303,-1.1322362977995408,1.0905467634228547,False
BRIX1,BRIX1 (55299),0.03713763366830531,0.8632150221074418,24,-1.4260283945064718,-0.6530650047255653,0.06388101044562643,False
BTF3,BTF3 (689),0.07192225327648735,0.7384029369043359,24,-1.293828350985319,-0.2714920849929347,0.13170658462730903,False
BUB1,BUB1 (699),-0.1263400445241131,0.5563568720863,24,-1.08235961545107,-0.426391364885568,0.25464654320350955,False
BUB1B,BUB1B (701),-0.31086210989913476,0.139266892103746,24,-1.995367848464388,-0.6479501425130232,0.8561521160643603,False
BUB3,BUB3 (9184),-0.2986625403116285,0.1562986529534612,24,-3.2874800083402715,-0.1583274597706843,0.8060447648944382,False
BUD13,BUD13 (84811),0.1261105881676347,0.5570799172790823,24,-1.391166008981236,-0.3694528255816505,0.25408249756655765,False
BUD23,BUD23 (114049),0.1172970130184188,0.5851692343065871,24,-1.9979927615438915,-1.1676213733128278,0.23271851529128734,False
BUD31,BUD31 (8896),-0.048879315188483735,0.8205708977979417,24,-2.6287767618351943,-1.0343638527983468,0.08588388969653403,False
BYSL,BYSL (705),-0.008872346160976041,0.9671797063171005,24,-1.524828375672437,-0.7591213558422203,0.014492824561431859,False
C19orf25,C19orf25 (148223),0.10746931614635313,0.6171907450627927,24,-1.015027496419168,0.168316748532356,0.20958059491980166,False
C19orf53,C19orf53 (28974),0.23200090633889786,0.27533321248111026,24,-1.2927392872507206,-0.2593086471021744,0.5601413980244562,False
C1orf109,C1orf109 (54955),0.24648421965939254,0.2456084355983818,24,-2.212993394370394,0.1331921905891826,0.6097567211183508,False
C1orf131,C1orf131 (128061),-0.21502602207444538,0.31295554343257276,24,-1.337338698520521,-0.4845058183184081,0.5045173513135769,False
C3orf38,C3orf38 (285237),-0.1546626680991648,0.47054000694523845,24,-1.5589757556447932,-0.0532524864696544,0.3274034454420352,False
C8orf33,C8orf33 (65265),-0.28638424031980075,0.17487250439698387,24,-1.1437096052475626,0.0533039291942176,0.7572784702662491,False
CAB39,CAB39 (51719),-0.09565024594329444,0.6566121689747947,24,-1.1920230534088505,0.821827575464525,0.18269107276471888,False
CACTIN,CACTIN (58509),-0.010238617113117798,0.9621289370091977,24,-1.6078247139805744,-0.62369519707553,0.01676672330592475,False
CAD,CAD (790),0.10500317771133383,0.6253366593707318,24,-1.3254997013331202,0.0212500326368696,0.20388611074722343,False
CAMLG,CAMLG (819),0.05301551349069254,0.8056592377130992,24,-1.2536623945022836,-0.0678470629434747,0.09384860890665293,False
CAND1,CAND1 (55832),-0.06500518139043925,0.7628214851330303,24,-1.0465884790948463,0.1521340925608116,0.11757708339830113,False
CAP1,CAP1 (10487),-0.03074191603563764,0.8866080879442644,24,-1.0937813122318785,-0.265434830725255,0.052268311234809094,False
CAPZB,CAPZB (832),-0.0938815035660339,0.6625921973810025,24,-1.7821976046535468,-0.5593719527144024,0.17875368263203503,False
CARS1,CARS1 (833),-0.016284292261008776,0.9397990920564295,24,-2.241898545044861,-1.0722737486612095,0.026964978886458102,False
CASZ1,CASZ1 (54897),0.3669913356805385,0.0777232918243565,24,-1.1222960597966078,0.2975087728079992,1.1094488139539003,False
CCAR1,CCAR1 (55749),0.11448827147533855,0.5942474754511304,24,-1.130664510950008,-0.346468882558453,0.2260326546144599,False
CCDC115,CCDC115 (84317),-0.06621211118048739,0.7585442323364695,24,-1.4087206077790642,-0.1598938447466935,0.12001908949879915,False
CCDC174,CCDC174 (51244),-0.08788051893159392,0.6830288793599442,24,-1.3515051892379415,-0.4949422758394726,0.16556093338799646,False
CCDC51,CCDC51 (79714),-0.218189355593073,0.30571683475922784,24,-1.0159442907938958,-0.0423725886702028,0.5146806455338693,False
CCDC86,CCDC86 (79080),-0.0733074006408071,0.7335416335506288,24,-1.1034167656339666,-0.1221346287069744,0.134575231911805,False
CCNA2,CCNA2 (890),0.015984567839514602,0.9409052300991108,24,-1.7903471637476578,-0.9976430770759528,0.026454117399202604,False
CCNB1,CCNB1 (891),-0.20089349349756339,0.3465618561459923,24,-2.046837615804005,-0.4328940261351444,0.46021923901656003,False
CCND1,CCND1 (595),0.057646045701549437,0.7890432872153739,24,-2.720302022398584,-0.1146497776956028,0.10289917057626626,False
CCNE1,CCNE1 (898),0.18384616785839927,0.389820773176096,24,-1.239831341099457,-0.0090256482651244,0.4091350214642476,False
CCNH,CCNH (902),0.12716083207904366,0.5537739599041602,24,-1.6566166150434465,-0.7411010782558229,0.2566674699263423,False
CCNK,CCNK (8812),0.41579565128241414,0.04330193828149615,24,-1.7518165140987048,-1.190191682214792,1.3634926633205864,True
CCT2,CCT2 (10576),-0.3791428517860535,0.06767493140522081,24,-1.9163073496086644,-0.6947260612864214,1.1695721757547104,False
CCT3,CCT3 (7203),-0.14649272128286983,0.49457360990580934,24,-3.065163290801533,-1.5944742190639605,0.3057690609995007,False
CCT4,CCT4 (10575),-0.15051467512846178,0.48266658946507385,24,-3.065051656462405,-1.257647614724578,0.316352762323096,False
CCT5,CCT5 (22948),0.06884708852029,0.7492301021194179,24,-1.9475636149903663,-0.537628589191926,0.12538478212204054,False
CCT6A,CCT6A (908),0.10150353830765525,0.6369695538792359,24,-2.111667899366821,-0.9509611917914016,0.19588132574667036,False
CCT7,CCT7 (10574),-0.16324167190601113,0.4459645109158422,24,-2.0770313077907927,-0.8693768497978942,0.3506997003162433,False
CCT8,CCT8 (10694),0.3754382785259283,0.07062666945416098,24,-2.079235117474457,-1.2292817609391484,1.1510312733153618,False
CDAN1,CDAN1 (146059),0.34168607442242904,0.10222343686152846,24,-1.9785108840879508,0.1371697931661871,0.9904495216892829,False
CDC123,CDC123 (8872),-0.07328564808332985,0.733617899978547,24,-2.2293792103089185,-0.8462495081530186,0.13453008059993712,False
CDC16,CDC16 (8881),0.2238805016709764,0.29295604789675184,24,-3.5352729295218577,-1.6417518258312511,0.5331975318224507,False
CDC20,CDC20 (991),-0.35130363372095913,0.09231796243028645,24,-2.935477971976911,-1.6197657950817392,1.0347137894899956,False
CDC23,CDC23 (8697),0.2042135127153267,0.33848174755696797,24,-2.8041902404841914,-1.3273920813652405,0.4704647454397351,False
CDC25B,CDC25B (994),-0.0737163446847496,0.7321082947157785,24,-1.020263966850129,-0.0426071049160629,0.13542467260445204,False
CDC26,CDC26 (246184),-0.10884906629648156,0.6126522405479707,24,-1.3394748589199823,-0.5471721644508994,0.21278597387877693,False
CDC27,CDC27 (996),-0.363670946264178,0.08065598729807912,24,-3.893921422827429,-2.320702409067916,1.0933633882997773,False
CDC37,CDC37 (11140),0.260305564104208,0.21927094739003866,24,-1.9534267929599216,-0.4157049538899878,0.6590189069637603,False
CDC40,CDC40 (51362),0.01298950750809915,0.9519640479472542,24,-1.4211931553223998,-0.3027225055766395,0.021379452952661495,False
CDC42,CDC42 (998),-0.11639822845127504,0.5880677054636921,24,-1.5501518339826117,-0.2156167661918298,0.23057266981411156,False
CDC45,CDC45 (8318),0.1102480411322766,0.6080645636045243,24,-3.081624640481265,-1.144859354723085,0.21605030538431003,False
CDC5L,CDC5L (988),-0.2644639118006837,0.21173119209988336,24,-2.5414670364500704,-0.872186776707146,0.6742151572901091,False
CDC6,CDC6 (990),-0.3044107374743104,0.14809966226778995,24,-1.8046971688121247,-0.8119620372843125,0.8294459318596317,False
CDC7,CDC7 (8317),-0.16469964198983844,0.4418567829430605,24,-2.8554724191050678,-1.8666202342623976,0.35471847376515,False
CDC73,CDC73 (79577),0.14779278765121112,0.49070886193416335,24,-1.9055661117291505,-0.9289439100233008,0.3091760988270052,False
CDCA5,CDCA5 (113130),-0.027659843679421037,0.8979152236234001,24,-1.4710844953479816,-0.3634458370196965,0.04676466517075136,False
CDCA8,CDCA8 (55143),-0.26535973462930457,0.21013002349636978,24,-1.8100840560071068,-0.1756164356519913,0.6775118909198738,False
CDIPT,CDIPT (10423),0.17159185895186507,0.42271373106746696,24,-1.4287945338516423,0.4072578725864084,0.3739536446952851,False
CDK1,CDK1 (983),0.2479852147775558,0.24265263531449965,24,-3.4051255600453656,-2.1828764271570025,0.6150149876937179,False
CDK12,CDK12 (51755),-0.372618922278081,0.07293807936779995,24,-1.2705594161736138,-0.3293993650989718,1.1370456768729138,False
CDK2,CDK2 (1017),-0.14453918111973135,0.5004092758723915,24,-1.702477855716732,-0.012987318014541,0.30067464857322734,False
CDK4,CDK4 (1019),0.36240301150308063,0.08179764151748015,24,-1.91337892336866,-0.2350257265530068,1.0872592182200027,False
CDK6,CDK6 (1021),0.20125831483335138,0.34566843157783045,24,-1.4143932018070884,-0.0453408474331118,0.461340280907605,False
CDK7,CDK7 (1022),0.1786793295257856,0.4035090732309212,24,-2.1872016782668227,-1.05321158122548,0.3941466953661496,False
CDK9,CDK9 (1025),0.004040679091982302,0.9850497430296361,24,-2.105727756195982,-0.885515901020812,0.006541837951304204,False
CDT1,CDT1 (81620),-0.2013754353437696,0.34538190048927137,24,-2.3164228037528214,-1.2109953124028032,0.46170042508817094,False
CEBPZ,CEBPZ (10153),0.2867829108428506,0.1742464051788558,24,-1.3890353230387205,-0.6152989889152689,0.7588361729263126,False
CENATAC,CENATAC (338657),-0.0939859033481436,0.6622386665365848,24,-2.234162426959984,-0.4252202370426956,0.1789854654244491,False
CENPA,CENPA (1058),0.06151685594947626,0.7752213136561239,24,-1.4231466035679912,-0.2534257339648728,0.11057429545677959,False
CENPC,CENPC (1060),-0.2334832497678564,0.27219051334293654,24,-2.0495137753085872,-0.5593197646954914,0.5651270153362505,False
CENPE,CENPE (1062),-0.16723292038412935,0.4347676081969454,24,-1.2441624540274931,-0.6016640395086821,0.3617428199338481,False
CENPH,CENPH (64946),-0.6846795387249989,0.00022367628575675665,24,-1.1497655132637823,-0.2768454655939633,3.650380057525694,False
CENPK,CENPK (64105),-0.18577417979239694,0.384781099681395,24,-2.279712983367298,-1.0754099002149828,0.41478626850966027,False
CENPM,CENPM (79019),-0.20071550322670353,0.3469982388838337,24,-1.4500255366412522,-0.6080003233169211,0.45967272937331627,False
CENPN,CENPN (55839),-0.18849055403485532,0.37774395713492903,24,-1.8590633380625885,-0.6668934228229092,0.42280247445140307,False
CENPT,CENPT (80152),0.11721664781497375,0.585428150862557,24,-1.012348470770458,0.1140342933787147,0.23252639794199298,False
CENPW,CENPW (387103),-0.09043464900162446,0.6743032136454205,24,-2.8178807165240327,-1.0895984592206738,0.1711447705248324,False
CEP192,CEP192 (55125),-0.12912145045844087,0.5476263509594809,24,-1.519231865593082,-0.4999768234240251,0.2615156624355,False
CFAP20,CFAP20 (29105),-0.23839428218334024,0.26194243358077113,24,-1.1622013486355522,-0.1566321024375565,0.5817941419825117,False
CFAP298,CFAP298 (56683),-0.2992008290174615,0.15551756526661625,24,-2.290507873765466,-0.9873516902922446,0.8082205515404248,False
CFL1,CFL1 (1072),0.2198181133395786,0.30203033452224254,24,-1.490503403244272,-0.1574742440905486,0.5199494363341557,False
CFLAR,CFLAR (8837),-0.28997962231210284,0.16928229213935359,24,-2.711778565222181,-0.0649797121615339,0.7713884691112745,False
CHAF1A,CHAF1A (10036),-0.12833720482213268,0.5500816191416731,24,-1.5768171920369651,-0.7454506042202962,0.2595728666639638,False
CHAF1B,CHAF1B (8208),0.43256608478876024,0.034758347361884614,24,-2.3511443671082253,-1.0285057947837388,1.458940880919477,True
CHCHD4,CHCHD4 (131474),0.0652196016568087,0.7620611025585166,24,-1.2465324218061986,-0.4062711020036696,0.11801020524818384,False
CHD4,CHD4 (1108),-0.19003845605729966,0.3737671223714413,24,-1.7095577121919692,-0.4831361678315861,0.4273989030658941,False
CHEK1,CHEK1 (1111),-0.1732463191877977,0.4181867647452502,24,-2.7128659169285747,-1.3849133499322015,0.37862971635111375,False
