;Gene;Pearson Correlation;p_value;Spearman Correlation;Spearman p_value;n;min_score;max_score;p_value_FDR;Spearman p_value_FDR
1283;RPL14;0.5083897605344639;0.011192340441852593;0.5895652173913043;0.00243045519129241;24;-2.594616287233589;-1.037372864519562;0.38695515506645267;0.16084405248088698
1301;RPL32;0.5073544761949046;0.011386297300527572;0.5634782608695652;0.004139998914296158;24;-2.9092289417922537;-1.6200872528600587;0.38695515506645267;0.21089430655742056
1152;PSMB6;0.5062711235169635;0.011592218828590906;0.47478260869565214;0.019060098667360623;24;-2.280167777909077;-0.5187571272505636;0.38695515506645267;0.39242625367354705
1749;VARS1;0.5057400827279358;0.011694273439676928;0.5408695652173913;0.0063521895787367125;24;-2.2621787890240923;-0.8609255796093308;0.38695515506645267;0.24914799001596968
842;MSTO1;0.5019082857724213;0.012452822156201667;0.5130434782608695;0.010353828161824782;24;-1.975498535788132;-0.2602644661825485;0.39110304161765574;0.3145187472764151
1529;SSB;0.5004093268713196;0.012760362863507249;0.5634782608695652;0.004139998914296158;24;-1.0240361107241025;-0.3409838919304087;0.39408253976798224;0.21089430655742056
465;FARSB;0.4975169209892466;0.013371450630279074;0.5478260869565217;0.005585606044072471;24;-2.413237927916009;-0.7515385804196675;0.3997065805785351;0.24070065115502998
497;GAPDH;0.49666677685181404;0.013555563186003091;0.43652173913043474;0.032952895775527076;24;-1.9297351494464736;-0.2490143628475885;0.3997065805785351;0.46970550670808975
1280;RPL12;0.4950662449501394;0.01390783032241414;0.551304347826087;0.005232389972592129;24;-3.2873992538410106;-1.4874289627471342;0.4026751498036469;0.23466422167994305
690;KRR1;0.49319776774918844;0.0143285332153969;0.5460869565217391;0.0057695732589104496;24;-1.8721844325688313;-0.2604301739203687;0.4084734161250839;0.24297771019911507
1337;RPS16;0.48643262069704757;0.015939907318786726;0.5043478260869565;0.011965355177749597;24;-2.9026330827131535;-1.2347302100545323;0.41975168535762025;0.33567718768440347
1151;PSMB5;0.48525259626108697;0.016235572960703323;0.46347826086956523;0.022544972852183147;24;-2.938582608531221;-0.3126847731826587;0.41975168535762025;0.4136221256940136
988;OSGEP;0.4836881585290875;0.016634444505088816;0.4495652173913043;0.027521911769761147;24;-1.7062394681608242;-0.4056458393085645;0.42224144750588466;0.4553402009764947
